imgsize,qubits,filters,kernelsize,stride,numjobs,circuit,time
8,16,1,4,3,16,ry,0.08475138664245606
8,16,2,2,3,16,ry,0.07504422903060913
8,16,2,3,3,16,ry,0.09305447340011597
8,16,2,4,3,16,ry,0.08656557321548462
8,16,3,2,3,16,ry,0.06990173816680909
8,16,3,3,3,16,ry,0.07261471271514892
8,16,3,4,3,16,ry,0.07883728504180908
8,16,4,2,3,16,ry,0.07178154468536377
8,16,4,3,3,16,ry,0.0746856141090393
8,16,4,4,3,16,ry,0.08127873420715331
8,16,5,2,3,16,ry,0.0735560417175293
8,16,5,3,3,16,ry,0.07862871170043945
8,16,5,4,3,16,ry,0.08412160873413085
8,16,6,2,3,16,ry,0.07690720081329346
8,16,6,3,3,16,ry,0.08104151248931885
8,16,6,4,3,16,ry,0.09802208662033081
8,16,7,2,3,16,ry,0.0779638957977295
8,16,7,3,3,16,ry,0.08274805784225464
8,16,7,4,3,16,ry,0.08942497730255126
8,16,8,2,3,16,ry,0.08254162073135377
8,16,8,3,3,16,ry,0.08579325437545776
8,16,8,4,3,16,ry,0.09195297002792359
8,16,9,2,3,16,ry,0.0835706663131714
8,16,9,3,3,16,ry,0.0874186372756958
8,16,9,4,3,16,ry,0.09516106605529785
8,16,10,2,3,16,ry,0.08540927410125733
8,16,10,3,3,16,ry,0.09099077224731446
8,16,10,4,3,16,ry,0.10181515455245972
8,16,11,2,3,16,ry,0.09528109550476074
8,16,11,3,3,16,ry,0.09921046733856201
8,16,11,4,3,16,ry,0.10538425922393799
8,16,12,2,3,16,ry,0.0970754599571228
8,16,12,3,3,16,ry,0.10111179113388062
8,16,12,4,3,16,ry,0.1257977843284607
8,16,13,2,3,16,ry,0.09538397789001465
8,16,13,3,3,16,ry,0.10660631418228149
8,16,13,4,3,16,ry,0.11504790782928467
8,16,14,2,3,16,ry,0.10472596406936646
8,16,14,3,3,16,ry,0.11069828987121583
8,16,14,4,3,16,ry,0.10439780950546265
8,16,15,2,3,16,ry,0.09791105508804321
8,16,15,3,3,16,ry,0.1019480013847351
8,16,15,4,3,16,ry,0.10936121225357055
8,16,16,2,3,16,ry,0.09967215538024903
8,16,16,3,3,16,ry,0.10511927127838135
8,16,16,4,3,16,ry,0.11613243579864502
16,4,1,2,1,16,ry,0.04011096715927124
16,4,2,2,1,16,ry,0.035325298309326174
16,4,3,2,1,16,ry,0.03551583766937256
16,4,4,2,1,16,ry,0.03601814031600952
16,9,1,2,1,16,ry,0.038880419731140134
16,9,1,3,1,16,ry,0.03586082935333252
16,9,2,2,1,16,ry,0.039366650581359866
16,9,2,3,1,16,ry,0.03643728017807007
16,9,3,2,1,16,ry,0.03948129177093506
16,9,3,3,1,16,ry,0.03683926343917847
16,9,4,2,1,16,ry,0.0399269700050354
16,9,4,3,1,16,ry,0.03738256692886353
16,9,5,2,1,16,ry,0.04047219753265381
16,9,5,3,1,16,ry,0.037591936588287356
16,9,6,2,1,16,ry,0.04052733659744263
16,9,6,3,1,16,ry,0.03830363273620605
16,9,7,2,1,16,ry,0.0414131498336792
16,9,7,3,1,16,ry,0.0390106201171875
16,9,8,2,1,16,ry,0.0420957088470459
16,9,8,3,1,16,ry,0.039253170490264895
